trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
988,42,152,22,177,89,55.41067804117798,0.5765229053810879,0.9959738615767111,1.0108727309885979,0.3074839886435887,0.7058289338841988,-0.8446924806273648,-0.47244192175146005,1.4898869411886735
989,45,182,23,215,88,50.394274632316005,0.3723838268861911,0.9830505471099115,0.9979494165217982,0.301759523980377,0.6968158296378179,-0.8446924806273647,-0.469867798922209,1.4898869411886735
990,43,164,18,185,78,56.91866532247641,0.5177920462480545,1.0002941013705138,1.013624668739044,0.3090793362137745,0.7078113844265921,-0.8446924806273648,-0.5070867776126577,1.3330567368530235
991,46,161,20,345,95,58.22404718429449,0.4615751648064703,0.9253490250287694,0.9371112903539431,0.2719668973946554,0.653885876708776,-0.9242267221519207,-0.41815253059182866,1.1762265325173737
992,47,169,25,193,82,61.03396922039844,0.40537245345193373,0.9487762503925461,0.9615840504132909,0.28362672338150485,0.6733376638829843,-0.8446924806273648,-0.5145828604727781,1.2807800020744737
993,16,204,21,166,72,51.86093391831809,0.4636452604676758,0.8806640859772896,0.8986995594758893,0.25315159298466394,0.6324465073690199,-0.9013414662963095,-0.6452394621566658,1.8035473498599732
994,44,146,22,204,86,59.273807484960614,0.5157470337452285,0.9707480723611288,0.98512417442523,0.2954326144326027,0.6890994018810994,-0.8763090521765025,-0.4507756789450226,1.4376102064101235
995,46,157,24,180,80,56.210491040248414,0.3219768307820673,1.0001714369907202,1.012979237011465,0.3097430537412076,0.7100483761954061,-0.8526896099052886,-0.4730733650760174,1.2807800020744737
996,43,176,21,171,92,57.27394343318373,0.43071073952939043,0.9844240788555841,1.0035050870497548,0.30528540902387835,0.7037160685891737,-0.8551312048596811,-0.48510242352099486,1.908100819417073
997,45,167,19,157,90,65.89547089053737,0.36336474901545435,0.9733824658284088,0.98775856789251,0.2974364326519001,0.6939632714551135,-0.7987010639536839,-0.4529650363483193,1.4376102064101235
998,48,152,23,195,85,54.51374502474746,0.5612919495951245,0.963725756451568,0.9796701605590257,0.29268714130882456,0.6854773049900637,-0.8832129155084844,-0.4904613066948833,1.5944404107457733
999,44,162,21,186,88,47.58165902483104,1.2699749744517606,0.876209340022439,0.8931992788254677,0.24657088627574386,0.6197643263307684,-0.9609119738422273,-0.4904823536761491,1.6989938803028732
1000,41,171,20,178,84,55.50873462330397,0.4854035180162209,0.9886509101568015,1.0040725469164737,0.3048181049086329,0.7023604420451465,-0.8475110851732438,-0.5913044434828044,1.5421636759672235
1001,44,181,23,200,93,57.89458530702806,0.4035124484276638,0.9770366350348665,0.9914127370989677,0.2988663185934257,0.6933874541351546,-0.8446924806273648,-0.49782807101889537,1.4376102064101235
1002,45,159,22,190,90,56.845220095368155,0.24271066029958138,0.9854907235390131,1.0009123602986854,0.3033102665045544,0.7022399989541444,-0.8160338230440087,-0.4313024137364452,1.5421636759672235
1003,47,165,21,211,55,60.30317597615546,0.44566700265523074,0.972833191966213,0.9882548287258852,0.29742209493131844,0.6907002063608887,-0.8830023196839154,-0.46641551892482025,1.5421636759672235
1004,42,187,16,174,87,58.772579989397414,0.5040403299818337,0.9584362860572713,0.9754262248603,0.2908283072793312,0.6840425107567951,-0.8434924899873453,-0.5893971141731632,1.6989938803028732
1005,43,173,19,167,74,55.85215603570256,0.356756242104436,0.9683712424064933,0.986406715905093,0.29581937720221485,0.6917038348457489,-0.7987010639536838,-0.4571196173253885,1.8035473498599732
1006,49,158,24,183,77,57.544600745582656,0.2921055298346996,0.9824134532766226,0.9967895553407238,0.30154561864425933,0.6990475125733644,-0.8393577172045215,-0.48244285853862756,1.4376102064101235
1007,46,151,22,152,82,56.59920327014069,0.5638391317443555,0.9854377806507706,1.0013821847582283,0.3031609523978782,0.701720784133203,-0.8498577883470049,-0.5179290408695518,1.5944404107457733
1008,44,165,25,190,89,55.11845908144895,0.4130163814754239,0.9739640806265994,0.9867718806473442,0.2958403120629878,0.6899575187596338,-0.8446924806273648,-0.5128093164266767,1.2807800020744737
1009,45,176,20,178,97,58.71947877625698,0.4710806478889893,0.9796597888955968,0.995081425655269,0.2997867537531351,0.6956751081345363,-0.8509333502113152,-0.5759220358206363,1.5421636759672235
1010,46,145,22,161,79,59.62138229214073,0.621250338589844,0.9607272345528234,0.9782399407036376,0.2910699998128252,0.6839240268838587,-0.8626617347565698,-0.5718980295704943,1.7512706150814232
1011,43,169,24,183,92,57.357910765904606,0.5235889404411889,1.0113470670682274,1.025200401784543,0.31527826974777695,0.715433259788808,-0.8446924806273645,-0.4862439471111988,1.3853334716315735
1012,45,156,23,195,37,55.97413893477079,1.5065136155807664,0.8126854793354706,0.8411762997897804,0.21910495214839987,0.5838607956999845,-0.9609119738422273,-0.6087690529194234,2.849082045430972
1013,48,163,18,171,86,57.93295247290867,0.3858879995345945,0.9908509873678881,1.0083636935187024,0.3067941006829935,0.7069045669619115,-0.8095831968604874,-0.4962686373026425,1.7512706150814232
1014,20,170,21,200,88,56.76825577646291,0.4389535057407163,0.9183225579389603,0.9347897293942036,0.2702846505736194,0.6554352257968986,-0.8480599022704663,-0.6294443228569149,1.6467171455243232
1015,44,180,20,187,84,53.938297834535966,0.31354112569238823,0.9366124171876041,0.9520340539472764,0.2794566819978037,0.6693167781041673,-0.8257495206691681,-0.5700607932917079,1.5421636759672235
